Title,Author,Genre,Year,Publisher,Summary
#В постели с твоим мужем. Записки любовницы. Женам читать обязательно!,Ника Набокова,psy_sex_and_family,2017,Литагент АСТ,"Ника Набокова – провокационная и откровенная, красивая молодая женщина с мозгами, которым может позавидовать любой успешный мужчина. В ее блоге более 300 тысяч читателей. Почти 8000 человек, обратившихся за помощью и советом. Десятки тысяч благодарностей от тех, кому ее статьи помогли выжить в сложных отношениях. Эту правду вам не расскажут в глянцевых журналах и на популярных ток-шоу. Никакой женской логики, стенаний и «ой, все». Бьющие под дых формулировки, глубинное знание человеческой психики и отношений, эффективные и на 100 % работающие методики – Ника расшатает ваши устои и выведет из зоны комфорта. Будьте готовы!"
Магия утра. Как первый час дня определяет ваш успех,Хэл Элрод,psy_personal,2016,"Манн, Иванов и Фербер","Некоторые книги меняют наше отношение к жизни. И лишь редкие из них меняют наш образ жизни и поведение. Книга Хэла Элрода делает и то, и другое – и быстрее, чем вы можете себе представить. Из нее вы узнаете, как первый час после пробуждения определяет успех всего дня и помогает раскрыть свой потенциал. Следуя советам автора, десятки тысяч человек улучшили свое здоровье, стали больше зарабатывать, научились фокусироваться на ключевых задачах и, главное, стали счастливее. Эта книга для всех, кто хочет изменить жизнь, начав с малого – с первого утреннего часа. На русском языке публикуется впервые."
Голодание ради здоровья,Юрий Сергеевич Николаев,Медицина,1988,Советская Россия,"О голоде написано много книг, и, как правило, он — враг человека, доставляющий ему страдания. В этой книге рассказывается о голоде — друге, целителе. Ученые разгадали тайну голода, открыли его способность будить важнейшие защитные силы организма и тем помогать ему бороться с болезнями. В книге речь пойдет о лечении голоданием различных заболеваний, о том, как и почему голод может лечить и как должен жить человек, чтобы быть здоровым."
"Свобода от тревоги. Справься с тревогой, пока она не расправилась с тобой",Роберт Лихи,Психология,2017,Издательство Питер,"Перед любым ответственным событием вы трясетесь от ужаса? Не можете уверенно разговаривать с начальником? Боитесь, что с вашими детьми случится что-то плохое? Из этой книги вы узнаете, как обмануть свой страх и научиться справляться со стрессом. Здесь вы найдете простое пошаговое руководство, чтобы преодолеть любые виды беспокойства. Теперь вы навсегда избавитесь от тревоги и начнете жить полной жизнью."
Средство от вегетососудистой дистонии,Андрей Владимирович Курпатов,Психология,2003,Олма-Пресс,"Вегетососудистая дистония — диагноз, который, к сожалению, знаком многим. Однако немногие знают, что от этого недуга можно избавиться, причем полностью и навсегда. Как это ни странно, но с сердцебиениями, болями в области сердца, колебаниями артериального давления, чувством нехватки воздуха, слабостью и с другими симптомами ВСД следует бороться средствами, способными задействовать внутренние ресурсы нашего организма. Вегетососудистая дистония — излечима! Только нужно знать, как вернуть себе утраченное здоровье и душевный покой."
"НИ СЫ. Восточная мудрость, которая гласит: будь уверен в своих силах и не позволяй сомнениям мешать тебе двигаться вперед",Джен Синсеро,Психология,2018,Литагент 5 редакция,"Эта книга – культовый бестселлер – дерзкая и невероятно искренняя, она заставляет проснуться, засунуть свои страхи куда подальше и начать действовать. Джен Синсеро испытала на себе все известные методики личной трансформации, выбрала 25 подходов, которые дали результат, и превратила их в систему полного преображения жизни. Если что-то и может заставить вас по максимуму реализовать свой потенциал, это она – невероятная, яркая, прорывная книга от знаменитого тренера по мотивации и успеху. Из этой книги вы узнаете: [ul]как не обращать внимания на эго и жить в своё удовольствие; как начать любить себя и всё, что делаешь; как изменить свои убеждения, чтобы изменить реальность; почему надежда на лучшее притягивает удачу; почему нужно заботиться о себе больше, чем о других.[/ul] Также выходит под названиями ""Убить Большого Соню. Как заставить замолчать свою ""внутреннюю сволочь"" и направить жизнь по лучшему из сценариев"" и ""Будь дерзким! Как перестать сомневаться в собственном величии и сделать жизнь грандиозной""."
П. Ш. #Новая жизнь. Обратного пути уже не будет!,Дмитрий Хара,Современная проза,2017,Издательский дом «Давид»,"Перед вами книга, которая изменит ваш мир. Ваша жизнь после ее прочтения никогда больше не станет прежней. И обратного пути не будет. Впереди – путь, конечная цель которого зависит от вашего решения, но, приняв его, придется брать ответственность за все происходящее только на себя. Готовы ли вы к этому? Тогда откройте первую из серии трансформационных книг – книг, меняющих сознание, жизнь и мир."
Бегущая с волками. Женский архетип в мифах и сказаниях,Кларисса Пинкола Эстес,Психология,2007,София,"Переведенная более чем на двадцать пять языков, книга Клариссы Эстес уже несколько лет занимает одно из первых мест в мировом книжном рейтинге. Эта книга о женском архетипе на самом деле универсальна. Замените понятие ""Первозданная Женщина"" на ""Первозданный Мужчина"" – и вы увидите, что польза, которую принесет эта книга вашей душе, не имеет половой принадлежности. Внутри каждой женщины живет первозданное, естественное существо, полное добрых инстинктов, сострадательной созидательности и извечной мудрости. Но это существо – Дикая Женщина – находится на грани вымирания. ""Цивилизующее"" влияние общества, к сожалению, подавляет в ребенке все ""дикое"", то есть естественное. Кларисса Эстес, более двадцати лет практикующая и преподающая психоанализ Юнга и исследующая мифы разных культур, показывает, как можно возродить исконный Дух женщины посредством ""психоархеологических раскопок"" в области женского бессознательного. Здоровая, инстинктивная, ясновидящая, исцеляющая архетипическая Дикая Женщина живет полнокровной жизнью в древних мифах и сказках. Но она может снова проявиться в душе каждой женщины в условиях современного мира."
Психология лжи,Пол Экман,Философия,2010,Питер,"Правда ли, что современный человек в среднем лжет трижды за десять минут разговора? Как реагировать на то, что ложь проникла во все сферы человеческой жизни? Что делать, если не удается распознать ложь по словам и голосу? В книге Пола Экмана вы найдете исчерпывающие ответы на эти вопросы. Помните, что скрыть обман чрезвычайно сложно. Универсальные микровыражения и микрожесты всегда выдают лжеца, независимо от социального статуса и национальной принадлежности. Научитесь замечать то, чего не видят другие. Книга адресована всем, кто заинтересован в разоблачении лжи: политикам и бизнесменам, врачам и юристам, психологам, педагогам, менеджерам, домохозяйкам, всем, кто не хочет становиться жертвой обмана и психологических манипуляций в профессиональной и личной жизни."
"Женщины, которые любят слишком сильно",Робин Норвуд,Психология,2004,Добрая книга,"Если для нас «любить» означает «страдать», значит, мы любим слишком сильно. В этой книге рассматриваются причины, которые побуждают столь многих женщин, ищущих любви и любящего мужчину, роковым образом неизбежно находить невнимательных, эгоистичных партнеров, не отвечающих им взаимностью. Мы узнаем, почему, даже если наши отношения с близким человеком не удовлетворяют нас, нам все же трудно порвать их. Мы поймем, как наше желание любить и сама любовь становятся страстью, зависимостью, пагубной привычкой, хронической неизлечимой болезнью."
В промежутках между,Александр Анатольевич Ширвиндт,Биографии и Мемуары,2017,Литагент Аттикус,"Вся наша жизнь – это существование в промежутках между. Между юбилеями и панихидами, между удачами и провалами, между болезнями и здоровьем, между днем и ночью, вообще, между рождением и смертью возникает пространство, когда человек вынужден подумать. А когда начинаешь думать, то рефлекторно хочется поделиться чем-нибудь с кем-нибудь, кроме самого себя… Александр Ширвиндт Книга содержит нецензурную брань"
Самая плохая адептка [litres],Анна Рэй,Фэнтези,2021,Литагент Альфа-книга,"Как же мне повезло! Я обручилась с самым завидным женихом – ректором Провинциальной магической академии. Подумаешь, жених не успел со мной познакомиться. Сделаю ему сюрприз и поступлю в академию на престижный целительский факультет – пусть гордится невестой! Только что-то пошло не так. Вместо «Анатомии» я штудирую «Бестиарий», подопечные магические существа похожи на монстров, а приготовленные зелья напоминают яды. Ректор грозится выгнать, считая меня самой плохой адепткой, а вредный старшекурсник ставит палки в колеса, пытаясь выжить неудачницу из академии. Но не на ту напали! Докажу, отомщу, влюблю… а заодно всех вылечу!"
"Благословите короля, или Характер скверный, не женат!",Анна Сергеевна Гаврилова,Фэнтези любовные романы ,2016,Литагент Альфа-книга,"Проснуться в чужой постели – это страшно. Но узнать, что оказалась в другом мире, а роскошная спальня принадлежит не абы кому, а королю, – еще страшней. Добавить сюда не очень радушный прием, перекошенную мужскую физиономию, и впору удариться в панику. Собственно, именно так и собиралась поступить Светлана, но монарх заверил: все будет хорошо! И она поверила! Ведь сразу определила – его величество Ринарион не из тех, кто разбрасывается словами. Скверный характер короля тоже подметила, но особого значения не придала. Да и какая разница, если через пару часов все наладится? Жизнь вернется в привычное русло, а Светлана обязательно переместится домой? Вот только… кто сказал, что избавиться от преподнесенного богами дара будет так просто?"
Эффект дракона,Серж Винтеркей,Фэнтези,2020,Литагент Кизима Сергей,"Десятая книга серии бестселлеров ЛитРес «Эгида» про приключения бывшего инженера Павла, а ныне – гнома Троя! Чтобы продвинуться в выполнении череды испытаний, ему необходимо уничтожить дьявола, и пройти данж, который образуется на месте его гибели. Выполнение этой невероятно трудной задачи осложнено тем, что армия ада, заставив сбежать с поля боя объединённую армию орков и гномов, кажется несокрушимой. Неожиданно для всех в дело вступает и созданная при помощи дракона армия нежити…"
Принцесса из одного места,Лесса Каури,Фантастические любовные романы,2021,Авторское,"Самыйсокс – классический образец провинциального городка с патриархальным сонным укладом. Его Величество Отис Кармодонский недаром сослал именно сюда непослушную дочь, лишив ее столичных развлечений. У принцессы Альвины прескверный характер. В городке ей скучно, и она веселится, как может, то изводя тетушку, у которой проживает, то являясь в неподобающем виде на балы и приемы, которые устраивает местный сюзерен – герцог Ананакс, то бегая по окрестностям наперегонки с ветром и вопреки всем запретам. Но ситуация меняется после возвращения с чужбины герцогского сына Онтарио. И становится еще запутаннее, когда в Самыйсоксе останавливается кортеж Его Высочества Стича Неверийского, приглашенного в столицу Кармодона на празднование Дня рождения короля Отиса."
Архимаг ищет невесту [litres],Анна Сергеевна Одувалова,Фантастические любовные романы,2019,Литагент АСТ,"Сенсация! Архимаг Франглисского королевства, господин Брендвид, объявляет отбор невест! Требуются ведьмы: непременно молодые, обязательно красивые, возможно умные и уж точно хитрые. Другой во дворце не выжить. Только Микаэла совсем не хочет становиться невестой архимага. И пусть он хорош собой и достаточно умен, у юной темной ведьмочки своя цель на этом отборе. А цель, как известно, оправдывает средства. Вот и приходится изворачиваться, чтобы и с отбора не вылететь, и невестой ненароком не стать. Что сказать… такие средства ни один суд не оправдает!"
"Невеста твоей мечты, или Ведьму вызывали? [publisher: SelfPub]",Ная Геярова,Детективная фантастика,2020,Литагент SelfPub.ru (неискл),"Говорят, все девушки моего возраста желают замуж. Чем я, ведьма, хуже? Я тоже пожелала. Кто же знал, что именно в этот день я умудрилась подписать контракт с адом. Но контрактик оказался с хорошей ложкой дёгтя! Теперь я – штатная ведьма магической академии. Сам чёрт пришёл исполнять моё желание. И кто только ни предлагает мне руку и сердце. Разве что женишки-то все – нечисть! Да и вообще, вокруг меня оказалось столько вампиров, оборотней и прочих потусторонних, что пора за голову хвататься!.. Да к тому же на меня недвусмысленно поглядывает сам ректор академии. И кто-то точит зубы. Большие драконьи зубы!"
Академия нечисти [СИ],Тальяна Орлова,Фэнтези,2019,Литагент Макшеева Оксана (искл),"Чтобы уберечь дочь от соблазнов, герцог отправляет ее в академию. Вот только ему невдомек, что там творится! Не зря же учебное заведение называют ""академией нечисти"", здесь иерархия строится по одаренности, а не титулам, а распутства больше, чем в столичных борделях. Как же приличной девушке без магических способностей выживать в таких условиях?"
Пес и его девушка [litres],Кира Алиевна Измайлова,Детективная фантастика,2020,Литагент 1 редакция (12),"Ротт Дайсон – начальник оперативного отдела полиции. Лэсси Кор – стажерка, единственная девушка среди опытных коллег. Что же связывает их? Конечно же, служба и расследование дела о таинственном маньяке-убийце, не оставляющем следов. Официально Лэсси в нем не участвует, но когда это останавливало решительных юных особ? А еще имеется некая тайна… Правда, Лэсси об этом пока не знает, но когда узнает… кому-то несдобровать!"
Скандал на драконьем факультете [СИ litres],Тальяна Орлова,Фэнтези,2020,Литагент Макшеева Оксана (искл),"Мне очень нужно поступить в академию, ведь я одна из драконов! И пусть все утверждают, что это не так. Однако принимают туда только элиту, а я, крестьянская дочка, даже грамоте не обучена. Встреча с благородной дамой решила мою проблему: ей как раз в академии учиться незачем, ее туда богатые родители пристраивают, чтобы дочка удачно замуж вышла – разумеется, за молодого дракона. Так почему бы нам не помочь друг другу? И ничего, что факультет другой – важно оказаться как можно ближе к мечте!"
Закон долга [СИ с издательской обложкой],Владимир Александрович Сухинин,Боевая фантастика,2021,СИ,"Что делать если тебя переселили в другой мир и в другое тело, в котором уже живет другая душа? Нужно делить тело на двоих, определив одному днем распоряжаться телом, другому ночью. И если один пьяница и прожигатель жизни, а другой хочет обрести свободу и выжить? Такие проблемы предстоит решать Артему землянину, досрочному выпускнику школы магии и едущему служить на границу королевства Риванган. Но по дороге он зашел по свойственному ему любопытству в лабиринты подземного кладбища и получил в наследство долги умирающего дознавателя… Путь судьбы землянина вновь покрылся туманом неизвестности."
В активном поиске дракона [litres],Анна Сергеевна Одувалова,Фантастические любовные романы,2021,Литагент 1 редакция (12),"Я сбежала на край света, чтобы склеить разбитое сердце. Не хочу больше влюбляться! Не доверяю мужчинам, особенно если они подавляюще-наглые, богатые и знают себе цену. Я просто планировала найти сокровища дракона и немного отвлечься. Так почему же все пошло не по плану, стоило встретить одного ослепительно красивого нахала?"
Особое условие [litres],Франциска Вудворт,Фантастические любовные романы,2019,Литагент АСТ,"Игенборг – загадочная страна, затерянная в горах. Шахты, полные сокровищ, удивительные животные и сильные люди. А еще дивные парфюмерные ароматы, которые пока не добрались до Империи Асдор. И я хочу первой проложить эту дорожку. Но Игенборг не только красив, он еще и опасен, как ядовитая змея. Таким он предстал передо мной. Таким оказался и его правитель…"
"Лучшая академия магии, или Попала по собственному желанию",Виктория Свободина,Фэнтези,2016,СИ,"Попала. Вот уж точно попала. И все, как в мечтах! Другой мир, лучшая академия магии, впечатляющая своей монументальностью, титулованные ученики, многообразие рас. А за всем этим красивым фасадом идет жесткая игра на выживание. Козни, интриги, борьба за собственную честь, достоинство и право учиться."
Спецуха,Андрей Владимирович Загорцев,Юмористические книги,2018,Эксмо,"«Об Андрее Загорцеве можно сказать следующее. Во-первых, он — полковник спецназа. Награжден орденом Мужества, орденом „За военные заслуги“ и многими другими боевыми наградами. Известно, что он недавно вернулся из Сирии, и у него часто бывают ночные полеты, отчего он пишет прозу урывками. Тем не менее, его романы ничуть не уступают, а по некоторым параметрам даже превосходят всемирно известный сатирический бестселлер Дж. Хеллера „Уловка-22“ об американской армии. Никто еще не писал о современной российской армии с таким убийственным юмором, так правдиво и точно! Едкий сарказм, великолепный слог, масса словечек и выражений, которые фанаты Загорцева давно растащили на цитаты… Итак, однажды, когда ничто не предвещало ничего особенного, в воинскую часть пришел приказ о начале специальных масштабных учений. Десятки подразделений и служб были мгновенно поставлены на уши; зарычала, завертелась армейская махина; тысячи солдат и офицеров поднялись по тревоге, в глубокие тылы понеслись „диверсанты“ и „шпионы“. И вот что из всего этого потом вышло…»"
Единственная для оборотня и теща в нагрузку,Франциска Вудворт,Фантастические любовные романы,2018,Литагент АСТ,"Не думал владыка оборотней, что его желание найти истинную пару принесет ему столько хлопот. А ведь ведьма предупреждала, что его ждет сюрприз! И теперь в невесты ему достался ребенок, которого опекает мамаша со склочным характером. И вроде еще не женат, а теща уже нервы треплет, доводя до белого каления, и лишает равновесия одним своим присутствием…"
Катастрофа на драконьем факультете [СИ litres],Тальяна Орлова,Фэнтези,2021,Литагент Макшеева Оксана (искл),"Мечты сбываются, но всегда как-то наперекосяк. Я все же учусь на драконьем факультете, чего всегда хотела, однако хлопот только добавляется: то проблемы с обращением, то Сат со своей романтикой отвлекает от учебы. И самая главная загадка остается неразгаданной – кем же был мой настоящий отец, от которого я унаследовала такие странные гены?"
Свежайшие анекдоты. Смеются все!,Сборник,Анекдоты,2016,АСТ,"Настоящая книга посвящена анекдотам – непременным атрибутам вечеринок, дружеских застолий, семейных торжеств. Тонкий юмор, блестящее остроумие, забавные парадоксы, комические ситуации, курьезные случаи из жизни – все это здесь, в книге, которая способна доставить немало веселых минут каждому, кто возьмет ее в руки. Анекдоты развлекут гостей, поднимут их настроение."
Дерибасовская шутит. Юмор одесских улиц,Ривка Апостол-Рабинович,Анекдоты,2017,Алгоритм,"Одесситы – истинные оптимисты. А чё? – всегда под присмотром, всегда накормлены и обласканы, ведь у них сам город – мама! Одесса-мама полна эмоций и шарма, и жители ее кажутся веселыми, аки дети. И говор у них особый, анекдотичный, нарицательный. И шутки у них имеются на все периоды и все случаи жизни. Вот представьте, что вы попадаете на блошиный рынок, а там уже кричат: – Люди, имейте совесть, покупайте хоть что-нибудь! Или заходите в маршрутку и спрашиваете: – Я до Привоза доеду? А вам в ответ: – А что, были случаи – не доезжали?! Или в трамвае вдруг зададитесь вопросом: – Я этим маршрутом попаду на вокзал? А у вас сочувственно спросят: – А шой-то вам уже так надоело в Одессе, что едете на вокзал? Поняли теперь, что Одессу-маму определяет не время и не история, а юмор. Не зря ежегодно в городе проходит знаковое шоу «Юморина». Да лучше любой «Юморины» новая книга Ривки Апостол-Рабинович. Купите, не пожалеете! – Шоб вы так жили, как прибедняетесь!"
Подлинные анекдоты из жизни Петра Великого слышанные от знатных особ в Москве и Санкт-Петербурге,Якоб Штелин,Анекдоты,2016,Литагент Остеон,"Прекрасно написанное историческое повествование о жизни и личности первого российского императора Петра Великого, служившее пособием по истории в течение более века (вплоть до Октябрьского переворота 1917 г.)."
Самые убойные анекдоты,Николай Белов,Анекдоты,2011,Харвест,"В предлагаемом вашему вниманию выпуске анекдотов собраны самые смешные свежие анекдоты. Тонкий юмор, блестящее остроумие, забавные парадоксы, комические ситуации, курьезные случаи из жизни – все это здесь, в новом выпуске анекдотов, который способен доставить немало веселых минут каждому, кто возьмет его в руки."
Таки еврэйский анекдот,Мойша Шпиндэль,Анекдоты,2013,ЗАО «СВР Медиапроекты»,"Еврейские анекдоты — это для тех, у кого все в порядке с юмором. Еврейские анекдоты относительны — и в этом их талант. А евреи с их относительностью оказались весьма живучи, и эта живучесть вполне отразилась в замечательном устном фольклоре, гордо носящем имя ЕВРЕЙСКИЙ АНЕКДОТ. Предлагаем подборку самых смешных, самых остроумных и самых веселых еврейских анекдотов. Книга содержит обширный материал еврейского юмора и остроумия, почерпнутый из фольклора (анекдоты, пословицы, поговорки) и других литературных жанров."
Не служил бы я на флоте… (сборник),Владимир Николаевич Бойко,Анекдоты,2015,Array Литагент «Горизонт»,"Воспоминания о своей учебе в Севастопольском ВВМИУ и последующей службе на атомных подводных лодках ВМФ СССР и РФ, ветеран – подводник Военно-Морского Флота России Владимир Бойко, впервые в литературе постсоветского пространства оформил в юмористической форме. Книга «Не служил бы я на флоте…» не является попыткой очернить флот или его представителей, а предназначена для людей, способных по достоинству оценить флотский юмор. Байки, анекдоты, крылатые выражения и изречения, приведенные в книге составляли, составляют и будут составлять неотъемлемую часть Военно-морской службы. По этим байкам, выражениям и изречениям, пусть не всегда тщательно обдуманным, а порой и высказанным сгоряча, можно судить о специфике службы на подводных лодках, представить будни подводников ВМФ. В книгу также включены дополненные и переработанные байки и смешные рассказы юмористического характера рассказанные друзьями и товарищами автора, а также автобиографические миниатюры и зарисовки с натуры, анекдоты от подводников."
Свежие отборные анекдоты,М. В. Савченко,Анекдоты,2017,Литагент АСТ,"В сборник анекдотов вошли как свежие, так и проверенные временем образцы этого, любимого всеми без исключения, жанра. Эта книга оздоровительная, потому что смех продлевает жизнь. Эта книга самая нужная, потому что сто может быть лучше, чем начать день с хорошего анекдота. Эта книга самая любимая, потому что в ней есть анекдоты для мам и пап, бабушек и дедушек, а также вполне приличные и мудрые – которые не стыдно и детям рассказать. Спасибо всем, кто сочиняет анекдоты, глядя новости, за то, что остальные могут узнавать новости, читая анекдоты! Читайте на здоровье!"
Новейшие улетные анекдоты,Елена Владимировна Маркина,Анекдоты,2015,АСТ,"В этой книге собраны свежие анекдоты на самые популярные за праздничным столом темы: про деньги, про любовь, про работу и отдых, про жизнь семейную и общественную и многие другие. Для широкого круга читателей."
Анекдоты и тосты от Раневской,Фаина Георгиевна Раневская,Анекдоты,2015,АСТ,"Непревзойденная Фаина Раневская — кладезь остроумия и язвительного тонкого юмора. Данный сборник — малая, но лучшая часть огромной коллекции ее бесподобных высказываний."
Отборные свежайшие анекдоты,Елена Владимировна Маркина,Анекдоты,2016,АСТ,"Какое застолье обходится без анекдотов? К месту рассказанный анекдот – лучший способ создать непринужденную дружескую атмосферу, объединить гостей и показать собственное остроумие. Одна жалость – самые смешные анекдоты почему-то очень быстро вылетают из памяти…"
Анекдоты от Никулина,Юрий Владимирович Никулин,Анекдоты,1997,БИНОМ,"…Сразу сообщаю читателям, что это анекдоты не моего сочинения, они из народа (хотя небольшая часть мною, действительно, придумана)… …Я публикую анекдоты только те, которые: а) мне нравятся; б) на мой взгляд смешные; в) не содержат пошлости…. Ю. Никулин"
Анекдоты о Ходже Насреддине,Сборник,Анекдоты,2008,Array Литагент «Фолио»,"Мудрец и простак, хитрец и бессребреник, философ и шутник – все это Ходжа Насреддин, полулегендарная личность (историки до сих пор спорят о том, действительно ли в XIII веке жил человек с таким именем, или же Насреддин – это некий собирательный образ), пожалуй, самый популярный фольклорный персонаж на всей территории Средней Азии и Ближнего Востока. Таковы и анекдоты о нем – иногда тонкие и саркастичные, иногда простые и даже грубоватые, но всегда наполненные замечательной восточной мудростью."
Самые смешные отпадные анекдоты. Смешнее не бывает!,Сборник,Анекдоты,2017,Литагент АСТ,"Какое застолье обходится без анекдотов? К месту рассказанный анекдот – лучший способ создать непринужденную дружескую атмосферу, объединить гостей и показать собственное остроумие. Одна жалость – самые смешные анекдоты почему-то очень быстро вылетают из памяти…"
Самые свежие анекдоты. Смеются все!,Сборник,Анекдоты,2017,Литагент АСТ,"Самые лучшие и свежие анекдоты из этого сборника подарят вам и вашим родственникам, друзьям и коллегам хорошее настроение на целый день. Откройте любую страницу и смейтесь от души. Актуальные анекдоты на разные темы не позволят вам скучать."
